pais,palabra,frecuencia,sentimiento
Portugal,perfect,3170,positivo
Portugal,friends,270,positivo
Portugal,super,4006,positivo
Portugal,welcomed,403,positivo
Portugal,kindness,174,positivo
Portugal,willingness,6,positivo
Portugal,help,530,positivo
Portugal,better,714,positivo
Portugal,amazing,2646,positivo
Portugal,good,5386,positivo
Portugal,easily,456,positivo
Portugal,falling,10,negativo
Portugal,cool,840,positivo
Portugal,liked,204,positivo
Portugal,brilliant,4873,positivo
Portugal,like,2342,positivo
Portugal,relax,117,positivo
Portugal,nice,5668,positivo
Portugal,thank,302,positivo
Portugal,hope,225,positivo
Portugal,free,251,positivo
Portugal,charming,184,positivo
Portugal,original,30,positivo
Portugal,helpful,3091,positivo
Portugal,clean,6007,positivo
Portugal,luckily,49,positivo
Portugal,happy,462,positivo
Portugal,definitely,4659,positivo
Portugal,recommend,5074,positivo
Portugal,agreed,35,positivo
Portugal,great,8666,positivo
Portugal,nicely,821,positivo
Portugal,lovely,4241,positivo
Portugal,warm,562,positivo
Portugal,welcome,1712,positivo
Portugal,thanks,2863,positivo
Portugal,awesome,684,positivo
Portugal,value,379,positivo
Portugal,friendly,2394,positivo
Portugal,beautiful,923,positivo
Portugal,noisy,824,negativo
Portugal,fantastic,2719,positivo
Portugal,useful,217,positivo
Portugal,holiday,186,positivo
Portugal,kind,562,positivo
Portugal,romantic,34,positivo
Portugal,successful,6,positivo
Portugal,easy,2515,positivo
Portugal,greeted,634,positivo
Portugal,gift,113,positivo
Portugal,enjoy,276,positivo
Portugal,downside,466,negativo
Portugal,broken,66,negativo
Portugal,want,699,positivo
Portugal,bother,82,negativo
Portugal,escape,32,positivo
Portugal,complain,85,negativo
Portugal,straight,182,positivo
Portugal,worn,14,negativo
Portugal,perfectly,696,positivo
Portugal,special,175,positivo
Portugal,peace,57,positivo
Portugal,exclusive,1,positivo
Portugal,worthwhile,5,positivo
Portugal,enjoyed,309,positivo
Portugal,okay,208,positivo
Portugal,enjoying,95,positivo
Portugal,loved,1752,positivo
Portugal,lively,165,positivo
Portugal,ready,142,positivo
Portugal,no,849,negativo
Portugal,sunny,87,positivo
Portugal,hand,66,positivo
Portugal,gorgeous,778,positivo
Portugal,lost,51,negativo
Portugal,attractions,518,positivo
Portugal,recommended,1099,positivo
Portugal,welcoming,1056,positivo
Portugal,holidays,57,positivo
Portugal,cute,429,positivo
Portugal,easygoing,42,positivo
Portugal,alright,114,positivo
Portugal,flexible,221,positivo
Portugal,leave,295,negativo
Portugal,trouble,120,negativo
Portugal,tricky,152,negativo
Portugal,sure,350,positivo
Portugal,problem,386,negativo
Portugal,warmer,10,positivo
Portugal,pretty,796,positivo
Portugal,seriously,817,negativo
Portugal,fit,69,positivo
Portugal,charged,11,negativo
Portugal,huge,452,positivo
Portugal,lack,56,negativo
Portugal,problems,230,negativo
Portugal,nicest,26,positivo
Portugal,friend,200,positivo
Portugal,best,1303,positivo
Portugal,care,115,positivo
Portugal,misleading,7,negativo
Portugal,chance,83,positivo
Portugal,well,1020,positivo
Portugal,secure,76,positivo
Portugal,blind,13,negativo
Portugal,block,70,negativo
Portugal,peaceful,275,positivo
Portugal,ideal,237,positivo
Portugal,doubt,82,negativo
