review,prediccion
"Rapha's place is so tidy and the dog there is so friendly. My friend and I had a really good time there. Rapha is such a friendly host and he'll always give us some suggestions for restaurants or places to travel. The location of the flat is easy to find, and it's just next to the metro station, which is very convenient. The Sagrada Familia, a hot tourist spot, is right next door. We can walk to the city center in no time even at night. We still feel safe walking to the apartment from the metro. I strongly recommend people to stay there while staying in Barcelona.",9
"The apartment's in a good spot, high up in town with a awesome view (from Main St).  It's about a 15-20 minute walk uphill to the nearest Metro - but the area is quiet. The outside terrace is amazing - we loved having breakfast there. There's a nice little shop just next door. The apartment and bedding + towels were clean, so even though it's a full time/only guest apartment, we can recommend it.",7
"The house is really well equipped and it's super pretty (except for the wife's internet which is really bad). It's a bit far from the tourist centers, though.  The only thing that was a problem was that our flight got delayed two hours and when we finally arrived two hours later than our scheduled time, after 8 p.m., they charged us 30 euros at check-in.",6
"Our host's friend was outside when we arrived, which was a bonus since we were travelling with our two kids. We got shown around the apartment and Regina put together all the guides for us. The apartment was as pictured and the kids loved it; we were only a 5-minute walk from a local supermarket.  Parents be warned! There are some steep hills, slightly difficult with the stroller/buggy, but a good workout either way. We were about a 10-12 minute walk to the subway, Alfonso X, which was only 4 stops from the Ramblas - thumbs up!  We loved our stay and our two kids felt very comfortable in the apartment; they loved the patio, there were plenty of playgrounds nearby. The neighborhood was quiet and the locals were really helpful.",8
"Dirty and very unrecommendable.  It has difficult accessibility, absolute lack of cleanliness and a strong smell of moisture caused by keeping wet sheets inside the only closet in the house, covered with mildew inside. Absolute lack of cleaning throughout the entire house that made it very uncomfortable to stay there, especially with young children. The sofa where you were supposed to sleep had a big stain that they didn't even bother trying to clean up. There was only one closet covered in mildew for storing clothes, which we obviously couldn't use. The shower was black, chipped and rusty, so we had to clean it ourselves and disinfect it a bit just to be able to use it. The kitchen was full of grease that made it useless for cooking anything. Stairs down completely steep and narrow.  Not even a sign of Regina or Juan, a person greeted us who didn't even know how to speak good Spanish, so I doubt the existence of Juan and Regina. It is absolutely shameful that when you pay for the apartment they charge you some cleaning fees that they didn't do. In addition, we were charged 30€ in the check-in. The area is quiet although quite far from the metro, given that you have some steep steps from the nearest metro station and then you have to climb uphill about 15 minutes. Considering the host's efforts, absolutely none. The person who welcomed us didn't even know how to tell us where the closest shop was, a parking lot where we could leave our car and even the nearest metro station. I am a user of this website for a long time, I have visited other countries in Europe using it and this has been by far the worst experience I've ever had.  I feel completely scammed.",1
"Real Barcelona neighborhood vibe. Nice people, tons of places to grab stuff 'n snacks and fresh fruits/veggies, plus awesome city views from up high.",9
"The neighborhood was very chill and calm, a nice change from the city center and the beaches, so it was like a cool retreat for chilling out.",7
"The apartment is pretty cool and well-equipped, in a nice neighborhood. It kind of matches the Airbnb listing. Unfortunately, it has a constant damp smell and it's also quite far from the subway and public parking. The host gave us a lot of info before we got there but we didn't see them at all during our stay. I also requested a change to the booking which I never heard back about. Overall, it was a good experience.",7
"This apartment's perfect for a big famiy. The rooms are big, clean, and cool. The kitchen's basic but works good, and the outside space is nice. Maks let us in and showed us around, and he was quick to answer any questions while we were there.",7
"The apartment is as described. It's nice; you feel like you're home there. There's a slight damp smell that's kinda unpleasant. But with the windows open, the smell goes away quickly.",7
