pais,palabra,frecuencia,sentimiento
España,friendly,1430,positivo
España,friend,287,positivo
España,good,4027,positivo
España,easy,2286,positivo
España,no,1107,negativo
España,safe,494,positivo
España,strongly,36,positivo
España,recommend,3765,positivo
España,awesome,4706,positivo
España,amazing,1532,positivo
España,loved,857,positivo
España,nice,5875,positivo
España,clean,4960,positivo
España,well,1407,positivo
España,super,8228,positivo
España,pretty,1074,positivo
España,bad,250,negativo
España,problem,404,negativo
España,delayed,114,negativo
España,charged,18,negativo
España,bonus,85,positivo
España,warned,31,negativo
España,difficult,38,negativo
España,stops,251,negativo
España,comfortable,819,positivo
España,helpful,2431,positivo
España,dirty,95,negativo
España,lack,51,negativo
España,strong,35,positivo
España,uncomfortable,66,negativo
España,bother,77,negativo
España,useless,4,negativo
España,greeted,176,positivo
España,doubt,64,negativo
España,shameful,1,negativo
España,pay,89,negativo
España,welcomed,376,positivo
España,leave,275,negativo
España,worst,23,negativo
España,fresh,158,positivo
España,calm,107,positivo
España,like,2387,positivo
España,cool,1128,positivo
España,retreat,7,positivo
España,chilling,19,negativo
España,kind,467,positivo
España,unfortunately,102,negativo
España,perfect,3030,positivo
España,unpleasant,19,negativo
España,luckily,30,positivo
España,allergic,10,negativo
España,limited,37,negativo
España,missing,75,negativo
España,played,11,positivo
España,important,159,positivo
España,difficulty,6,negativo
España,top,249,positivo
España,spite,2,negativo
España,pleasant,172,positivo
España,enjoyed,547,positivo
España,ideal,245,positivo
España,straight,65,positivo
España,hard,170,negativo
España,accident,5,negativo
España,sad,16,negativo
España,ok,40,positivo
España,sadly,18,negativo
España,affected,4,negativo
España,broken,99,negativo
España,kia,1,negativo
España,true,53,positivo
España,enjoy,274,positivo
España,faithful,1,positivo
España,brightness,3,positivo
España,bright,271,positivo
España,annoying,60,negativo
España,positive,81,positivo
España,best,875,positivo
España,friends,376,positivo
España,peaceful,125,positivo
España,great,7664,positivo
España,wish,82,positivo
España,ready,218,positivo
España,welcoming,612,positivo
España,reach,191,positivo
España,chance,77,positivo
España,thanks,2076,positivo
España,funky,4,negativo
España,bummer,28,negativo
España,confusing,12,negativo
España,awful,21,negativo
España,fun,193,positivo
España,stop,303,negativo
España,flexible,215,positivo
España,easily,375,positivo
España,beautiful,772,positivo
España,sunny,92,positivo
España,useful,159,positivo
España,fantastic,533,positivo
España,prepared,71,positivo
España,alright,60,positivo
España,inconvenient,29,negativo
España,fine,223,positivo
España,help,677,positivo
España,number,57,positivo
España,thankfully,13,positivo
España,welcome,723,positivo
España,free,128,positivo
España,negative,48,negativo
España,sure,524,positivo
España,poor,16,negativo
España,loose,3,negativo
España,avoid,28,negativo
España,weird,51,negativo
España,complaints,79,negativo
España,want,599,positivo
España,peace,32,positivo
España,efficient,51,positivo
España,downside,163,negativo
España,adventure,6,positivo
España,hand,69,positivo
España,better,503,positivo
España,fan,145,positivo
España,shared,172,positivo
España,tricky,33,negativo
España,okay,213,positivo
España,beautifully,61,positivo
España,tough,40,negativo
España,recommended,573,positivo
España,gross,16,negativo
España,freezing,13,negativo
España,messy,31,negativo
España,disappointing,22,negativo
España,happy,447,positivo
España,cute,361,positivo
España,perfectly,403,positivo
España,thank,288,positivo
España,problems,347,negativo
España,refused,4,negativo
España,ridiculous,4,negativo
España,angry,4,negativo
España,tired,36,negativo
España,play,16,positivo
España,tricks,9,negativo
España,impression,29,positivo
España,excellent,512,positivo
España,stuck,27,negativo
España,party,69,positivo
España,definitely,2217,positivo
España,responsive,217,positivo
España,huge,361,positivo
España,nicely,233,positivo
España,agreed,34,positivo
España,attractions,386,positivo
España,improvements,7,positivo
España,support,21,positivo
España,win,4,positivo
España,interest,48,positivo
España,noisy,353,negativo
España,love,340,positivo
España,warm,415,positivo
España,enjoying,51,positivo
España,carefully,11,positivo
España,pressure,51,negativo
España,leak,7,negativo
España,scare,3,negativo
España,fire,11,negativo
España,ideally,46,positivo
España,improve,12,positivo
España,solve,22,positivo
España,hesitation,31,negativo
España,comforts,46,positivo
España,worn,16,negativo
España,favorite,84,positivo
España,fit,121,positivo
España,delay,41,negativo
España,disappointed,69,negativo
España,secure,72,positivo
España,interesting,90,positivo
España,steal,18,negativo
España,helps,68,positivo
España,triumphal,5,positivo
España,lovely,533,positivo
España,cancelled,96,negativo
España,gorgeous,141,positivo
España,cleaner,31,positivo
España,care,166,positivo
España,lively,135,positivo
España,stopped,18,negativo
España,hugging,1,positivo
España,adventurous,3,positivo
España,dream,38,positivo
España,surprised,57,positivo
España,benefit,7,positivo
España,worth,222,positivo
España,crash,38,negativo
España,save,26,positivo
España,proactive,5,positivo
España,fault,37,negativo
España,share,79,positivo
España,fair,39,positivo
España,charming,140,positivo
España,neat,109,positivo
España,shame,31,negativo
España,misleading,11,negativo
España,trouble,110,negativo
España,warning,9,negativo
España,shaking,1,negativo
España,crazy,50,negativo
España,empty,11,negativo
España,sharing,61,positivo
España,adorable,42,positivo
España,clear,138,positivo
España,worry,49,negativo
España,energy,11,positivo
España,value,164,positivo
España,killer,186,negativo
España,respectful,47,positivo
España,comfort,76,positivo
España,desired,7,positivo
España,wonderful,231,positivo
España,adventuring,1,positivo
España,thankful,18,positivo
España,terrible,56,negativo
España,solved,31,positivo
España,serious,18,negativo
España,miserable,3,negativo
España,saved,29,positivo
España,disgusting,6,negativo
España,embarrassing,1,negativo
España,popular,51,positivo
España,complaint,24,negativo
España,helpfulness,7,positivo
España,charmed,3,positivo
España,honestly,63,positivo
España,apologize,7,positivo
España,confusion,6,negativo
España,appreciated,190,positivo
España,sparkling,32,positivo
España,legal,2,positivo
España,cheated,1,negativo
España,surprising,6,positivo
España,easygoing,52,positivo
España,fulfilled,6,positivo
España,helping,66,positivo
España,blocks,261,negativo
España,kindly,44,positivo
España,liked,278,positivo
España,pleasure,106,positivo
España,careful,60,positivo
España,fights,3,negativo
España,haha,14,positivo
España,smile,36,positivo
